artist_name,music,main_genre,release date,explicit track
J. Cole,No Role Modelz,hip_hop,12/9/2014,1.0
Sam Smith,Stay With Me,pop,11/20/2011,0.0
Mark Ronson,Uptown Funk,pop,11/20/2011,1.0
Sam Smith,I'm Not The Only One,pop,1/1/2014,0.0
Sam Smith,I'm Not The Only One,pop,9/11/2014,0.0
Maroon 5,Sugar,pop,8/29/2014,1.0
Taylor Swift,Blank Space,pop,1/1/2014,0.0
Avicii,The Nights,pop,11/20/2011,0.0
Sia,Chandelier,pop,1/1/2014,0.0
WALK THE MOON,Shut Up and Dance,rock,11/20/2011,0.0
Maroon 5,Maps,pop,1/1/2014,0.0
The Weeknd,Earned It (Fifty Shades Of Grey),rb_soul,2/10/2015,1.0
One Direction,Night Changes,pop,11/17/2014,0.0
Coldplay,A Sky Full of Stars,rock,1/1/2014,0.0
Calvin Harris,Summer,pop,1/1/2014,0.0
Ariana Grande,One Last Time,pop,8/21/2014,0.0
The Walters,I Love You So,indie,11/28/2014,0.0
Taylor Swift,Shake It Off,pop,1/1/2014,0.0
Pharrell Williams,Happy,pop,,
Maroon 5,Animals,pop,11/20/2011,0.0
Jessie J,Bang Bang,pop,1/1/2014,0.0
Clean Bandit,Rather Be,pop,,
Pitbull,Time of Our Lives,pop,11/17/2014,1.0
J. Cole,Wet Dreamz,hip_hop,12/9/2014,1.0
Taylor Swift,Style,pop,1/1/2014,0.0
James Bay,Let It Go,rock,1/1/2014,0.0
Calvin Harris,Outside,pop,,
Lost Frequencies,Are You With Me,electronic,,
Lilly Wood and The Prick,Prayer In C,pop,,
Ariana Grande,Santa Tell Me,pop,,
American Authors,Best Day Of My Life,rock,1/1/2013,0.0
Mr. Probz,Waves,pop,,
Nico & Vinz,Am I Wrong,world,1/1/2013,0.0
Taylor Swift,Wildest Dreams,pop,1/1/2014,0.0
TV Girl,Lovers Rock,indie,,
Ty Dolla $ign,Or Nah,hip_hop,,
Calvin Harris,Blame,pop,1/1/2014,0.0
Tove Lo,Habits (Stay High),pop,3/15/2013,0.0
Sia,Elastic Heart,pop,11/20/2011,0.0
Ariana Grande,Love Me Harder,pop,1/1/2014,0.0
Ariana Grande,Break Free,pop,1/1/2014,0.0
Galantis,Runaway (U & I),pop,10/5/2014,0.0
AURORA,Runaway,pop,2/7/2015,0.0
Ariana Grande,Problem,pop,1/1/2014,0.0
Aaron Smith,Dancin,electronic,,
Enrique Iglesias,Bailando,pop,,
Mr.Kitty,After Dark,indie,,
Sam Smith,Like I Can,pop,,
David Guetta,Hey Mama,electronic,,
One Direction,Steal My Girl,pop,,
Becky G,Shower,pop,1/1/2014,0.0
