epoch,train_accuracy,train_precision,train_recall,train_f1,train_auc,train_tn,train_fp,train_fn,train_tp,train_loss,train_epoch_time,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_tn,val_fp,val_fn,val_tp,val_ndcg@5,val_ndcg@10,val_ndcg@20,val_map@5,val_map@10,val_map@20,val_loss
1,0.8918571428571429,0.09774436090225563,0.02,0.033205619412515965,0.5218010902483343,6230,120,637,13,0.36805337870662863,19.138962268829346,0.907,0.0,0.0,0.0,0.5617479342272172,907,0,93,0,0.09510596288406735,0.09510596288406735,0.09510596288406735,0.09386548410938654,0.09386548410938654,0.09386548410938654,0.3089985251426697
2,0.9071428571428571,0.0,0.0,0.0,0.5388798304058147,6350,0,650,0,0.3253260154615749,7.753840684890747,0.907,0.0,0.0,0.0,0.5883629121172245,907,0,93,0,0.09510596288406735,0.09510596288406735,0.09510596288406735,0.09386548410938654,0.09386548410938654,0.09386548410938654,0.30432540364563465
3,0.9071428571428571,0.0,0.0,0.0,0.582813809812235,6350,0,650,0,0.3145955815911293,8.318150281906128,0.907,0.0,0.0,0.0,0.5860629986603597,907,0,93,0,0.095251117821508,0.095251117821508,0.095251117821508,0.09405025868440502,0.09405025868440502,0.09405025868440502,0.30901118367910385
4,0.9071428571428571,0.0,0.0,0.0,0.605817201695942,6350,0,650,0,0.31110263710672204,8.775112867355347,0.907,0.0,0.0,0.0,0.5937333285912437,907,0,93,0,0.095251117821508,0.095251117821508,0.095251117821508,0.09405025868440502,0.09405025868440502,0.09405025868440502,0.30583372712135315
5,0.9071428571428571,0.0,0.0,0.0,0.649567050272562,6350,0,650,0,0.301044462621212,8.68046522140503,0.907,0.0,0.0,0.0,0.5845810956598024,907,0,93,0,0.09484194903389319,0.09484194903389319,0.09484194903389319,0.09349593495934959,0.09349593495934959,0.09349593495934959,0.3093522861599922
6,0.9071428571428571,0.0,0.0,0.0,0.6544021804966688,6350,0,650,0,0.29831647554581814,8.965473413467407,0.907,0.0,0.0,0.0,0.5947054569596092,907,0,93,0,0.095251117821508,0.095251117821508,0.095251117821508,0.09405025868440502,0.09405025868440502,0.09405025868440502,0.3081415621563792
7,0.9071428571428571,0.0,0.0,0.0,0.6654207147183525,6350,0,650,0,0.29928177452900195,8.999821662902832,0.907,0.0,0.0,0.0,0.6107218645896314,907,0,93,0,0.095251117821508,0.095251117821508,0.095251117821508,0.09405025868440502,0.09405025868440502,0.09405025868440502,0.3076850548386574
8,0.9071428571428571,0.0,0.0,0.0,0.6808741368867354,6350,0,650,0,0.29453122358430517,9.295936346054077,0.907,0.0,0.0,0.0,0.6024587734585245,907,0,93,0,0.09539627275894863,0.09539627275894863,0.09539627275894863,0.0942350332594235,0.0942350332594235,0.0942350332594235,0.3096948638558388
9,0.9071428571428571,0.0,0.0,0.0,0.719467716535433,6350,0,650,0,0.281785013391213,9.361850500106812,0.907,0.0,0.0,0.0,0.5973373166885989,907,0,93,0,0.09566028660912278,0.09566028660912278,0.09566028660912278,0.09460458240946046,0.09460458240946046,0.09460458240946046,0.3119166111573577
10,0.9071428571428571,0.0,0.0,0.0,0.7192719563900667,6350,0,650,0,0.28220125382596795,10.898577213287354,0.907,0.0,0.0,0.0,0.6058375122997949,907,0,93,0,0.095251117821508,0.095251117821508,0.095251117821508,0.09405025868440502,0.09405025868440502,0.09405025868440502,0.3122289767488837
11,0.9071428571428571,0.0,0.0,0.0,0.7349043004239855,6350,0,650,0,0.28019551986997776,10.706073522567749,0.907,0.0,0.0,0.0,0.6032175077948098,907,0,93,0,0.095251117821508,0.095251117821508,0.095251117821508,0.09405025868440502,0.09405025868440502,0.09405025868440502,0.3133067414164543
12,0.9071428571428571,0.5,0.0015384615384615385,0.003067484662576687,0.723502604482132,6349,1,649,1,0.2809061194008047,10.596287965774536,0.907,0.0,0.0,0.0,0.6091925406930564,907,0,93,0,0.09566028660912278,0.09566028660912278,0.09566028660912278,0.09460458240946046,0.09460458240946046,0.09460458240946046,0.3120466647669673
