epoch,train_accuracy,train_precision,train_recall,train_f1,train_auc,train_tn,train_fp,train_fn,train_tp,train_loss,train_epoch_time,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_tn,val_fp,val_fn,val_tp,val_ndcg@5,val_ndcg@10,val_ndcg@20,val_map@5,val_map@10,val_map@20,val_loss
1,0.8924285714285715,0.05217391304347826,0.009230769230769232,0.01568627450980392,0.4902563294972744,6241,109,644,6,0.3775947845794938,9.99001669883728,0.907,0.0,0.0,0.0,0.5785942075375514,907,0,93,0,0.09469679409645257,0.09469679409645257,0.09469679409645257,0.0933111603843311,0.0933111603843311,0.0933111603843311,0.3127926206216216
2,0.9071428571428571,0.0,0.0,0.0,0.5666873410054513,6350,0,650,0,0.32146244888955894,9.1788809299469,0.907,0.0,0.0,0.0,0.6049365152754562,907,0,93,0,0.09551513167168213,0.09551513167168213,0.09551513167168213,0.09441980783444197,0.09441980783444197,0.09441980783444197,0.303304310888052
3,0.907,0.0,0.0,0.0,0.5627271956390066,6349,1,650,0,0.3209207727827809,8.912906169891357,0.907,0.0,0.0,0.0,0.6049483704994606,907,0,93,0,0.09551513167168213,0.09551513167168213,0.09551513167168213,0.09441980783444197,0.09441980783444197,0.09441980783444197,0.30626011174172163
4,0.9071428571428571,0.0,0.0,0.0,0.5907529981829195,6350,0,650,0,0.31238340640609913,9.376001358032227,0.907,0.0,0.0,0.0,0.5934369479911323,907,0,93,0,0.09484194903389319,0.09484194903389319,0.09484194903389319,0.09349593495934959,0.09349593495934959,0.09349593495934959,0.3054860383272171
5,0.9071428571428571,0.0,0.0,0.0,0.6162497880072684,6350,0,650,0,0.30774667967449537,9.150527954101562,0.907,0.0,0.0,0.0,0.5819373807068084,907,0,93,0,0.095251117821508,0.095251117821508,0.095251117821508,0.09405025868440502,0.09405025868440502,0.09405025868440502,0.30717332661151886
6,0.9071428571428571,0.0,0.0,0.0,0.6369800121138703,6350,0,650,0,0.3028705915266817,9.377959251403809,0.907,0.0,0.0,0.0,0.6021979585304265,907,0,93,0,0.095251117821508,0.095251117821508,0.095251117821508,0.09405025868440502,0.09405025868440502,0.09405025868440502,0.3061384195461869
7,0.9071428571428571,0.0,0.0,0.0,0.6646740157480315,6350,0,650,0,0.29805396856232125,9.55253267288208,0.907,0.0,0.0,0.0,0.6076039406764592,907,0,93,0,0.095251117821508,0.095251117821508,0.095251117821508,0.09405025868440502,0.09405025868440502,0.09405025868440502,0.31631086859852076
8,0.9071428571428571,0.0,0.0,0.0,0.6757269533615989,6350,0,650,0,0.2959894382140853,9.34005618095398,0.907,0.0,0.0,0.0,0.596305912200211,907,0,93,0,0.095251117821508,0.095251117821508,0.095251117821508,0.09405025868440502,0.09405025868440502,0.09405025868440502,0.3103718124330044
9,0.9071428571428571,0.0,0.0,0.0,0.7042909751665658,6350,0,650,0,0.28939013657244766,9.145697116851807,0.907,0.0,0.0,0.0,0.5949781271117118,907,0,93,0,0.095251117821508,0.095251117821508,0.095251117821508,0.09405025868440502,0.09405025868440502,0.09405025868440502,0.3109222920611501
10,0.9071428571428571,0.0,0.0,0.0,0.7145258631132647,6350,0,650,0,0.28585124029354614,9.662303924560547,0.907,0.0,0.0,0.0,0.5930220151509762,907,0,93,0,0.09498710397133382,0.09498710397133382,0.09498710397133382,0.09368070953436806,0.09368070953436806,0.09368070953436806,0.31187331303954124
11,0.9071428571428571,0.0,0.0,0.0,0.7297482737734707,6350,0,650,0,0.2788684434511445,8.867763996124268,0.907,0.0,0.0,0.0,0.6021979585304265,907,0,93,0,0.095251117821508,0.095251117821508,0.095251117821508,0.09405025868440502,0.09405025868440502,0.09405025868440502,0.3138427175581455
12,0.9071428571428571,0.0,0.0,0.0,0.725308540278619,6350,0,650,0,0.28095263947140087,9.419061183929443,0.907,0.0,0.0,0.0,0.5987125226731159,907,0,93,0,0.095251117821508,0.095251117821508,0.095251117821508,0.09405025868440502,0.09405025868440502,0.09405025868440502,0.3170026782900095
